record_type,N,assumed_sd,effect,alpha,target_power,approx_power,mde,ci95_half_width,calls_per_model,calls_two_models,fixed_delay_minutes_per_model_if_20s,fixed_delay_minutes_two_models_if_serial_20s
power,180,1.5,0.3,0.05,,0.7652593202022939,,,1440,2880,480.0,960.0
power,180,2.0,0.1,0.05,,0.10293348892353682,,,1440,2880,480.0,960.0
power,180,2.0,0.15,0.05,,0.17161685418334582,,,1440,2880,480.0,960.0
power,180,2.0,0.2,0.05,,0.2686618236636774,,,1440,2880,480.0,960.0
power,180,2.0,0.25,0.05,,0.38875967189941385,,,1440,2880,480.0,960.0
power,180,2.0,0.3,0.05,,0.5209693072187045,,,1440,2880,480.0,960.0
power,216,0.5,0.1,0.05,,0.8363151466437442,,,1728,3456,576.0,1152.0
power,216,0.5,0.15,0.05,,0.9928396650007395,,,1728,3456,576.0,1152.0
power,216,0.5,0.2,0.05,,0.999955506645227,,,1728,3456,576.0,1152.0
power,216,0.5,0.25,0.05,,0.9999999644769548,,,1728,3456,576.0,1152.0
power,216,0.5,0.3,0.05,,0.9999999999965132,,,1728,3456,576.0,1152.0
power,216,0.75,0.1,0.05,,0.49989587371541044,,,1728,3456,576.0,1152.0
power,216,0.75,0.15,0.05,,0.8363151466437442,,,1728,3456,576.0,1152.0
power,216,0.75,0.2,0.05,,0.9749564649365118,,,1728,3456,576.0,1152.0
power,216,0.75,0.25,0.05,,0.9983537169716443,,,1728,3456,576.0,1152.0
power,216,0.75,0.3,0.05,,0.999955506645227,,,1728,3456,576.0,1152.0
power,216,1.0,0.1,0.05,,0.3122735486894528,,,1728,3456,576.0,1152.0
power,216,1.0,0.15,0.05,,0.5966235305046909,,,1728,3456,576.0,1152.0
power,216,1.0,0.2,0.05,,0.8363151466437442,,,1728,3456,576.0,1152.0
power,216,1.0,0.25,0.05,,0.9567604915118313,,,1728,3456,576.0,1152.0
power,216,1.0,0.3,0.05,,0.9928396650007395,,,1728,3456,576.0,1152.0
power,216,1.25,0.1,0.05,,0.21731593622310263,,,1728,3456,576.0,1152.0
power,216,1.25,0.15,0.05,,0.422273607161191,,,1728,3456,576.0,1152.0
power,216,1.25,0.2,0.05,,0.6523113237831809,,,1728,3456,576.0,1152.0
power,216,1.25,0.25,0.05,,0.8363151466437442,,,1728,3456,576.0,1152.0
power,216,1.25,0.3,0.05,,0.941477873162587,,,1728,3456,576.0,1152.0
power,216,1.5,0.1,0.05,,0.16514391060487177,,,1728,3456,576.0,1152.0
power,216,1.5,0.15,0.05,,0.3122735486894528,,,1728,3456,576.0,1152.0
power,216,1.5,0.2,0.05,,0.49989587371541044,,,1728,3456,576.0,1152.0
power,216,1.5,0.25,0.05,,0.6877704200764012,,,1728,3456,576.0,1152.0
power,216,1.5,0.3,0.05,,0.8363151466437442,,,1728,3456,576.0,1152.0
power,216,2.0,0.1,0.05,,0.11378698814149057,,,1728,3456,576.0,1152.0
power,216,2.0,0.15,0.05,,0.19662929422637598,,,1728,3456,576.0,1152.0
power,216,2.0,0.2,0.05,,0.3122735486894528,,,1728,3456,576.0,1152.0
power,216,2.0,0.25,0.05,,0.45118746034499635,,,1728,3456,576.0,1152.0
power,216,2.0,0.3,0.05,,0.5966235305046909,,,1728,3456,576.0,1152.0
